alpha,beta,relative_drift_%,std_dev_%,wall_time_s,status
0.1,0.27,0.0001292304,0.0000334923,0.0,resume_from_csv
0.1,0.28,0.0002805858,0.0000408188,0.0,resume_from_csv
0.1,0.29,0.0001107823,0.0000331723,0.0,resume_from_csv
0.1,0.3,0.0001068565,0.0000313054,0.0,resume_from_csv
0.1,0.31,0.0001045673,0.0000308655,0.0,resume_from_csv
0.1,0.32,0.0001001132,0.0000302655,0.0,resume_from_csv
0.1,0.33,0.0001858282,0.0000343939,0.0,resume_from_csv
0.1,0.34,0.0000954934,0.0000298244,0.0,resume_from_csv
0.1,0.35,0.0000956281,0.0000256266,0.0,resume_from_csv
0.1,0.36,0.0001139519,0.0000278096,0.0,resume_from_csv
0.1,0.37,0.0000919716,0.0000255659,0.0,resume_from_csv
0.1,0.38,0.0000942504,0.0000245175,0.0,resume_from_csv
0.1,0.39,0.0000869996,0.0000219870,0.0,resume_from_csv
0.1,0.4,0.0000940640,0.0000220305,0.0,resume_from_csv
0.1,0.41,0.0001165933,0.0000229709,0.0,resume_from_csv
0.1,0.42,0.0000824212,0.0000208979,0.0,resume_from_csv
0.1,0.43,0.0001132268,0.0000221141,0.0,resume_from_csv
0.1,0.44,0.0000839749,0.0000188186,0.0,resume_from_csv
0.1,0.45,0.0000848347,0.0000179573,0.0,resume_from_csv
0.1,0.46,0.0000852283,0.0000177036,0.0,resume_from_csv
0.1,0.47,0.0000953380,0.0000185859,0.0,resume_from_csv
0.1,0.48,0.0000831152,0.0000173544,0.0,resume_from_csv
0.1,0.49,0.0000805463,0.0000170337,0.0,resume_from_csv
0.1,0.5,0.0000772213,0.0000158419,0.0,resume_from_csv
0.1,0.51,0.0000734509,0.0000152286,0.0,resume_from_csv
0.1,0.52,0.0000712549,0.0000149433,0.0,resume_from_csv
0.1,0.53,0.0000691004,0.0000146077,0.0,resume_from_csv
0.1,0.54,0.0000669666,0.0000143238,0.0,resume_from_csv
0.1,0.55,0.0000671945,0.0000155077,0.0,resume_from_csv
0.1,0.56,0.0000638591,0.0000138171,0.0,resume_from_csv
0.1,0.57,0.0000623261,0.0000132398,0.0,resume_from_csv
0.1,0.58,0.0000615492,0.0000141620,0.0,resume_from_csv
0.1,0.59,0.0000609173,0.0000123833,0.0,resume_from_csv
0.1,0.6,0.0000602544,0.0000117500,0.0,resume_from_csv
0.1,0.61,0.0000594050,0.0000113308,0.0,resume_from_csv
0.1,0.62,0.0000582967,0.0000108429,0.0,resume_from_csv
0.1,0.63,0.0000588664,0.0000116727,0.0,resume_from_csv
0.1,0.64,0.0000551374,0.0000101397,0.0,resume_from_csv
0.1,0.65,0.0000870514,0.0000118151,0.0,resume_from_csv
0.1,0.66,0.0000821933,0.0000126153,0.0,resume_from_csv
0.1,0.67,0.0000492228,0.0000099067,0.0,resume_from_csv
0.1,0.68,0.0001626670,0.0000199880,0.0,resume_from_csv
0.1,0.69,0.0006573563,0.0000560996,0.0,resume_from_csv
0.1,0.7,0.0005357199,0.0000439134,0.0,resume_from_csv
0.1,0.71,0.0002315704,0.0000232084,0.0,resume_from_csv
0.1,0.72,0.0001844506,0.0000196993,0.0,resume_from_csv
0.1,0.73,0.0001875684,0.0000200071,0.0,resume_from_csv
0.1,0.74,0.0002810933,0.0000288422,0.0,resume_from_csv
0.1,0.75,0.0001174012,0.0000150417,0.0,resume_from_csv
0.1,0.76,0.0000660447,0.0000098634,0.0,resume_from_csv
0.1,0.77,0.0001486212,0.0000157077,0.0,resume_from_csv
0.1,0.78,0.0005243361,0.0000390745,0.0,resume_from_csv
0.1,0.79,0.0001296758,0.0000140676,0.0,resume_from_csv
0.1,0.8,0.0003019963,0.0000203413,0.0,resume_from_csv
0.1,0.81,0.0000896927,0.0000112693,0.0,resume_from_csv
0.1,0.82,0.0000714103,0.0000083768,0.0,resume_from_csv
0.1,0.83,0.0000633930,0.0000079637,0.0,resume_from_csv
0.1,0.84,0.0000639212,0.0000078222,0.0,resume_from_csv
0.1,0.85,0.0000693594,0.0000082818,0.0,resume_from_csv
0.1,0.86,0.0001743202,0.0000132287,0.0,resume_from_csv
0.1,0.87,0.0003155346,0.0000218868,0.0,resume_from_csv
0.1,0.88,0.0000975547,0.0000096361,0.0,resume_from_csv
0.1,0.89,0.0001221868,0.0000108800,0.0,resume_from_csv
0.1,0.9,0.0001379003,0.0000130108,0.0,resume_from_csv
0.1,0.91,0.0001351761,0.0000120491,0.0,resume_from_csv
0.1,0.92,0.0001631435,0.0000140302,0.0,resume_from_csv
0.1,0.93,0.0001613619,0.0000137464,0.0,resume_from_csv
0.1,0.94,0.0001596838,0.0000141437,0.0,resume_from_csv
0.1,0.95,0.0001360048,0.0000124074,0.0,resume_from_csv
0.1,0.96,0.0001145527,0.0000096378,0.0,resume_from_csv
0.1,0.97,0.0000941157,0.0000083258,0.0,resume_from_csv
0.1,0.98,0.0000576545,0.0000063194,0.0,resume_from_csv
0.1,0.99,0.0000491813,0.0000058493,0.0,resume_from_csv
0.1,1.0,0.0002321919,0.0000158968,0.0,resume_from_csv
0.15,0.0,0.0003123960,0.0000756119,0.0,resume_from_csv
0.15,0.01,0.0004866839,0.0001004079,0.0,resume_from_csv
0.15,0.02,0.0004112554,0.0001017828,0.0,resume_from_csv
0.15,0.03,0.0004416570,0.0001078183,0.0,resume_from_csv
0.15,0.04,0.0004340748,0.0000995502,0.0,resume_from_csv
0.15,0.05,0.0003833193,0.0000788095,0.0,resume_from_csv
0.15,0.06,0.0003202580,0.0000680716,0.0,resume_from_csv
0.15,0.07,0.0005731440,0.0000814364,0.0,resume_from_csv
0.15,0.08,0.0004259126,0.0000720459,0.0,resume_from_csv
0.15,0.09,0.0002333002,0.0000482724,0.0,resume_from_csv
0.15,0.1,0.0002744640,0.0000573192,0.0,resume_from_csv
