alpha,beta,relative_drift_%,wall_time_s,status
0.55,0.5,0.0085838353,4.3,ok
0.6,0.0,0.0007173809,4.7,ok
0.6,0.01,0.0007168108,4.7,ok
0.6,0.02,0.0007162201,4.7,ok
0.6,0.03,0.0007177229,4.7,ok
0.6,0.04,0.0007178473,4.7,ok
0.6,0.05,0.0007159298,4.7,ok
0.6,0.06,0.0007157951,4.6,ok
0.6,0.07,0.0007135978,4.7,ok
0.6,0.08,0.0007109134,4.6,ok
0.6,0.09,0.0007084673,4.7,ok
0.6,0.1,0.0007063322,4.7,ok
0.6,0.11,0.0007118981,5.0,ok
0.6,0.12,0.0007024766,4.7,ok
0.6,0.13,0.0007007146,4.7,ok
0.6,0.14,0.0006991547,4.7,ok
0.6,0.15,0.0006991651,5.0,ok
0.6,0.16,0.0006991547,5.0,ok
0.6,0.17,0.0006989423,4.7,ok
